가맹점코드,위도,경도,가맹점명,주소
UKSL4T,37.4924409,127.0309581,브릭샌드(강남역점),06232) 서울특별시 강남구 강남대로 지하396 (역삼동) 강남역 신분당선 지하1층 4번
Q0K0TE,37.4120139,127.0978311,밀본(파미어스몰점)_QR,13449) 경기도 성남시 수정구 창업로 17 (시흥동) 판교아이스퀘어 B동 2층 201-1호(시흥동)
1FQQS7,37.4404576,126.4310224,만수무강QR,22385) 인천 중구 공항서로 141-1 B동 1층 일부 
0AH7MB,37.3606013,127.1128787,분당곱창_QR,13612) 경기도 성남시 분당구 내정로7번길 15-1 (정자동) 1층
0NDG9X,37.3602348,127.112882,티씨오티씨(TCOTC)_QR,13612) 경기도 성남시 분당구 불정로71번길 4-4 (정자동) 1층
25PXT0,37.3602082,127.1115862,이레스시,13612) 경기도 성남시 분당구 불정로65번길 1 (정자동) 1층
6ZLZUW,37.3609733,127.1135774,란반_QR,13612) 경기도 성남시 분당구 내정로11번길 9 (정자동) 1층
G1H5Z9,37.3602084,127.1125879,카산도(정자본점)_QR,13612) 경기도 성남시 분당구 불정로71번길 2 (정자동) 1층
G47RTG,37.3605882,127.1118947,빙토피아_QR,13612) 경기도 성남시 분당구 불정로65번길 6 (정자동) 1층
HWYTY5,37.3614021,127.1135651,토속정_QR,13612) 경기도 성남시 분당구 내정로11번길 10-3 (정자동) 1층
IKZUDY,37.3605975,127.1138708,정성죽_QR,13612) 경기도 성남시 분당구 내정로7번길 7 (정자동) 1층
KX4HMU,37.3602278,127.1138708,스시생선가게,13612) 경기도 성남시 분당구 불정로77번길 4-6 (정자동) 1층
OG34KF,37.3606115,127.1127328,도담 참숯닭갈비 봉평막국수_QR,13612) 경기도 성남시 분당구 내정로7번길 17 (정자동) 1층
SH9A0Q,37.360838,127.1134408,마린보이코다리1번가(분당정자점),13612) 경기도 성남시 분당구 불정로77번길 10 (정자동) 1층
T45O1R,37.3615238,127.1145117,전주콩뿌리 콩나물국밥,13612) 경기도 성남시 분당구 불정로87번길 18 (정자동) 1층
UAP58F,37.3613833,127.1131618,함흥미식관,13612) 경기도 성남시 분당구 불정로77번길 15 (정자동) 1층
WNO4FP,37.360841,127.1135739,평안도왕순대(본점)_QR,13612) 경기도 성남시 분당구 내정로7번길 10-1 (정자동) 1층
WX0MW5,37.3609978,127.1131739,고향집삼계탕_QR,13612) 경기도 성남시 분당구 내정로11번길 13 (정자동) 1층
YTKSXN,37.3604459,127.1141448,백청우칼국수,13612) 경기도 성남시 분당구 불정로77번길 4-9 (정자동) 1층
907DBU,37.4040238,127.1000896,바나프레소 (판교우림W시티점),13486) 경기도 성남시 분당구 판교로255번길 9-22 (삼평동) 1층 113호
LM7ZR7,37.4901319,127.0056662,바나프레소 (롯데마트서초점),"06655) 서울특별시 서초구 서초대로38길 12 (서초동, 마제스타시티, 힐스테이트 서리풀) 지하1층"
8UFVYZ,37.3647862,127.1070939,문어세상 해천탕(정자역점),"13558) 경기도 성남시 분당구 성남대로331번길 9-9 (정자동) 2층 201호,202호"
PWBTGH,37.49459,127.1191309,맛있는 샤브 돈까스_KIOSK,05719) 서울특별시 송파구 송파대로30길 16 지하1층 101호 
0K11XP,37.5657556,126.8256199,스시도쿠(마곡코엑스점),"07797) 서울특별시 강서구 마곡중앙로 143 (마곡동) ,본동 지하2층 222호(마곡동,르뤠스트 시티)"
